;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Gross Domestic Product and Components selected indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Türkiye, Rep of;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Source: International Financial Statistics (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Metadata by Country (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Indicator;;Base Year;Scale;2010Q1;2010Q2;2010Q3;2010Q4;2011Q1;2011Q2;2011Q3;2011Q4;2012Q1;2012Q2;2012Q3;2012Q4;2013Q1;2013Q2;2013Q3;2013Q4;2014Q1;2014Q2;2014Q3;2014Q4;2015Q1;2015Q2;2015Q3;2015Q4;2016Q1;2016Q2;2016Q3;2016Q4;2017Q1;2017Q2;2017Q3;2017Q4;2018Q1;2018Q2;2018Q3;2018Q4;2019Q1;2019Q2;2019Q3;2019Q4;2020Q1;2020Q2;2020Q3;2020Q4;2021Q1;2021Q2;2021Q3;2021Q4;2022Q1;2022Q2;2022Q3;2022Q4;2023Q1;2023Q2;2023Q3;2023Q4;2024Q1;2024Q2
;Household Consumption Expenditure, incl. NPISHs, Nominal, Seasonally Adjusted, Domestic Currency;;Millions;171.201,49;177.684,28;189.407,87;193.588,26;209.773,06;217.665,89;222.034,95;231.599,58;236.932,25;241.794,17;247.657,30;252.711,18;266.580,33;274.886,78;285.505,94;290.850,51;295.222,80;304.773,87;315.314,59;325.184,83;339.830,73;348.834,39;352.694,61;369.713,21;376.956,13;386.161,02;376.550,11;420.728,56;430.647,36;448.480,55;462.574,42;494.925,72;506.501,34;518.517,34;539.766,84;548.301,14;575.522,84;603.856,73;620.369,01;656.905,52;679.245,57;620.753,92;760.585,74;805.388,53;862.144,79;913.619,71;996.204,59;1.236.698,76;1.625.135,58;2.058.956,19;2.264.255,82;2.654.686,86;3.109.672,47;3.601.966,43;4.198.534,09;4.853.449,17;5.558.191,88;6.305.275,64;
;Govenment Final Consumption Expenditure, Nominal, Seasonally adjusted, Domestic Currency;;Millions;41.401,83;42.627,12;44.421,90;45.234,08;46.074,75;46.973,92;46.996,41;51.030,07;51.170,31;56.177,45;57.824,58;58.229,37;61.389,01;62.667,61;65.812,09;65.746,34;72.310,62;69.045,35;73.174,78;73.565,51;72.207,58;79.282,63;83.672,14;89.389,16;93.022,08;98.414,07;93.948,42;101.592,07;104.756,91;109.088,64;114.859,78;121.929,34;124.281,06;132.273,99;139.485,44;149.662,96;159.966,67;162.228,11;166.419,34;170.756,40;183.197,44;185.784,37;187.935,91;200.039,92;211.896,26;225.726,39;245.846,78;255.868,13;356.217,99;401.814,04;467.681,36;523.640,81;650.294,81;787.229,31;942.701,28;1.096.694,77;1.370.430,71;1.582.745,89;
;Gross Fixed Capital Formation, Nominal, Seasonally Adjusted, Domestic Currency;;Millions;61.346,99;67.688,51;76.091,41;82.532,59;86.549,86;97.078,25;101.229,20;104.926,48;100.160,15;105.049,32;109.249,94;113.463,79;119.323,79;126.372,21;135.641,07;135.540,42;148.799,62;140.204,15;148.947,18;152.744,47;159.978,67;171.505,62;176.302,89;187.023,33;183.113,29;186.366,86;186.841,48;208.223,51;212.869,94;227.280,58;245.350,48;250.133,63;272.430,17;287.822,57;286.599,54;272.732,12;286.380,51;263.371,83;271.732,17;300.179,78;304.609,03;288.843,82;381.577,39;414.448,20;427.765,24;459.157,71;518.769,60;638.540,97;813.688,85;1.028.321,00;1.186.621,41;1.349.241,56;1.566.976,49;1.748.615,05;2.526.228,37;2.614.753,90;2.964.586,18;3.027.625,80;
;Exports of Goods and Services, Nominal, Seasonally Adjusted, Domestic Currency;;Millions;57.456,63;63.261,99;61.734,91;65.022,83;71.985,09;74.966,46;87.437,75;88.655,56;88.913,49;97.721,87;98.692,66;99.934,18;99.511,32;108.060,03;110.590,69;115.686,20;133.170,39;126.713,50;129.040,92;129.023,32;135.718,08;143.115,67;148.819,84;149.062,35;148.772,33;147.279,37;139.404,49;170.845,96;200.064,42;195.047,91;197.419,47;223.466,69;228.813,41;257.670,08;344.702,84;343.527,09;335.414,46;361.183,28;366.608,83;364.875,18;368.605,01;255.702,01;369.124,22;476.751,64;484.669,38;564.515,20;642.674,50;901.754,17;1.176.046,39;1.405.276,93;1.587.432,53;1.623.418,15;1.663.581,54;1.817.966,66;2.460.980,34;2.529.760,41;2.844.994,21;2.904.485,30;
;Imports of Goods and Services, Nominal, Seasonally Adjusted, Domestic Currency;;Millions;65.061,15;72.071,28;76.810,40;83.815,49;97.557,88;102.651,80;113.609,53;112.021,02;110.924,28;113.992,58;113.937,48;111.391,64;121.065,81;129.287,36;134.281,86;139.313,85;148.877,12;141.797,80;144.382,36;151.837,15;147.639,89;155.805,16;158.413,63;162.487,07;160.231,53;164.374,33;154.553,11;183.907,56;213.856,73;219.299,04;235.420,50;262.846,70;268.804,49;289.525,87;327.608,14;294.372,51;306.802,61;321.963,00;326.759,40;344.959,45;378.645,88;304.091,91;436.731,22;507.329,31;492.185,31;564.528,00;611.040,02;896.476,31;1.335.700,41;1.489.840,69;1.785.507,63;1.781.855,31;2.020.606,01;1.927.537,73;2.560.509,78;2.612.660,64;2.927.312,10;2.920.494,21;
;National Accounts, Constant Prices, Seasonally Adjusted;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;
;Gross Domestic Product, Real, Seasonally Adjusted, Domestic Currency;2010;Millions;277.764,60;288.321,57;296.310,16;305.268,17;312.148,44;320.725,33;329.252,96;333.721,92;330.752,55;336.466,38;342.404,37;347.892,75;358.085,58;368.598,21;374.001,75;374.726,60;385.597,70;379.341,83;388.666,75;393.904,26;401.351,99;407.467,67;413.178,40;417.999,64;419.510,87;425.513,51;413.311,21;436.083,08;442.052,49;452.132,60;458.986,58;467.628,22;473.554,46;476.341,33;471.762,96;455.491,85;462.611,99;473.119,06;475.630,27;481.981,23;482.834,82;431.107,13;501.859,05;509.212,86;519.569,92;528.466,17;547.742,02;556.324,89;557.508,43;565.393,81;568.459,34;574.988,41;575.570,08;598.581,82;600.013,24;607.015,32;615.298,59;615.699,16;
;Household Consumption Expenditure, incl. NPISHs, Real, Seasonally Adjusted, Domestic Currency;2010;Millions;173.075,70;178.588,17;190.109,98;190.108,04;202.262,92;204.251,70;207.619,14;204.574,58;208.421,34;208.522,61;213.940,24;213.224,08;223.475,94;224.406,06;231.688,57;230.782,66;228.063,87;231.792,05;236.696,28;241.319,80;245.358,75;243.771,25;245.419,71;251.630,36;251.693,56;255.159,43;251.961,95;265.263,52;260.695,18;267.841,98;272.406,85;282.180,90;280.675,79;276.489,09;277.236,77;257.731,22;271.137,98;278.864,68;281.265,96;278.467,34;283.824,94;252.625,22;303.163,04;302.374,18;309.581,83;316.158,66;336.895,60;361.587,56;369.330,77;382.585,24;397.978,59;418.944,23;430.910,26;451.268,69;442.757,79;456.336,74;459.613,97;461.668,55;
;Govenment Final Consumption Expenditure, Real, Seasonally adjusted, Domestic Currency;2010;Millions;44.267,24;41.696,40;43.385,31;44.335,98;42.354,96;43.725,49;42.937,80;46.502,41;45.388,85;46.409,30;48.330,20;47.231,99;49.107,55;50.674,75;52.360,00;50.354,76;52.586,98;50.099,72;53.093,20;53.232,64;50.226,21;53.777,54;55.136,66;57.837,11;56.110,91;61.711,54;58.182,46;60.996,33;61.328,70;61.674,10;61.803,05;64.922,14;64.926,67;67.332,04;64.531,14;67.256,90;68.528,20;68.745,23;68.640,28;68.146,72;70.764,77;68.671,39;69.675,26;70.855,81;69.781,96;71.535,65;75.665,36;72.003,32;73.185,50;72.760,98;78.472,32;77.024,70;76.050,89;78.251,11;78.510,51;76.076,03;78.862,96;79.128,15;
;Gross Fixed Capital Formation, Real, Seasonally Adjusted, Domestic Currency;2010;Millions;61.922,47;67.923,64;76.020,25;81.793,15;82.015,59;89.512,24;91.531,60;92.705,05;87.990,39;90.051,75;92.402,48;95.503,25;99.503,37;103.965,01;107.808,92;106.795,16;112.312,49;104.584,97;109.696,93;112.007,01;114.703,70;119.862,05;120.287,87;124.454,69;121.240,27;121.636,94;121.443,23;125.556,68;126.007,08;131.683,57;137.107,12;135.526,09;139.802,19;141.765,14;130.795,89;118.725,15;118.870,61;113.300,87;113.227,64;119.453,01;117.577,31;107.748,34;139.604,29;133.985,02;132.064,50;131.051,54;136.608,18;135.261,09;135.571,02;135.498,64;134.089,56;136.607,23;140.743,20;145.150,85;152.258,46;148.903,40;152.446,27;146.194,98;
;Exports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency;2010;Millions;57.803,14;63.707,93;61.406,91;64.558,39;63.995,35;66.425,36;76.205,55;72.826,66;73.083,63;82.319,46;82.606,08;81.958,15;80.527,73;86.766,96;83.397,91;85.057,60;90.170,82;90.339,86;89.815,45;89.188,23;92.639,14;93.672,64;93.272,98;91.573,56;92.194,96;91.915,89;85.199,38;95.382,90;103.317,25;101.737,19;99.874,79;105.019,74;105.356,64;109.457,35;117.016,72;115.385,12;115.501,11;117.671,63;122.849,40;114.800,06;115.772,57;75.031,97;97.290,72;113.875,07;118.063,39;121.621,26;124.004,49;139.000,19;137.848,14;143.130,79;137.713,41;133.924,45;132.947,02;131.850,30;138.104,59;134.043,40;137.737,06;132.325,25;
;Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency;2010;Millions;65.813,50;72.679,33;76.933,55;82.331,94;86.368,44;87.638,32;86.198,79;82.150,08;84.258,46;86.971,62;88.249,66;84.993,62;92.543,66;97.823,26;96.597,81;95.127,70;94.933,05;94.889,01;95.929,21;97.484,81;96.659,75;96.263,04;95.937,88;96.913,97;98.628,99;103.230,81;97.219,55;98.252,82;101.981,69;106.529,26;112.673,45;118.404,35;118.323,05;109.267,94;96.639,57;88.225,33;86.925,60;92.658,57;100.746,66;111.452,89;106.672,16;85.970,09;115.279,62;110.402,57;106.013,95;102.963,09;103.920,10;112.340,60;109.456,36;110.701,66;118.112,16;123.401,46;125.495,89;130.913,27;132.524,06;127.174,64;122.599,55;123.298,27;
;Gross Domestic Product, Deflator, Seasonally Adjusted;2010;Units;98,68;99,20;100,17;101,95;105,92;107,26;108,88;111,58;113,69;116,10;116,87;119,37;119,82;122,94;125,01;126,61;129,83;131,58;134,19;135,67;138,50;141,99;144,83;148,10;149,96;152,19;153,72;164,10;164,37;167,45;173,93;182,42;186,39;192,62;209,71;213,66;221,26;224,12;230,73;236,16;245,12;249,95;268,07;283,62;297,67;311,61;339,01;397,05;502,07;628,47;719,59;795,67;889,46;972,91;1.236,18;1.350,27;1.553,17;1.682,72;
